同意（複数）,VRC URL,X URL,君の気になる子は誰？（複数可）,呼ばれたい名前,スキンシップ範囲
同意する,https://vrc.game/users/usr_3x3_01,https://x.com/share3x3_01,柘榴_ざくろ・ちるちる,ゆい,手をつなぐまで
同意する,https://vrc.game/users/usr_3x3_02,https://x.com/share3x3_02,なんこつ,そら,ハグまでOK
同意する,https://vrc.game/users/usr_3x3_03,https://x.com/share3x3_03,ニャンツァー・moku・るびちゃ,れいな,彼氏に任せる
同意する,https://vrc.game/users/usr_3x3_04,https://x.com/share3x3_04,ふぃり,まどか,手をつなぐまで
同意する,https://vrc.game/users/usr_3x3_05,https://x.com/share3x3_05,ぷりも・めび,あおい,軽いスキンシップまで
同意する,https://vrc.game/users/usr_3x3_06,https://x.com/share3x3_06,ばじばじ,みずき,ハグまでOK
同意する,https://vrc.game/users/usr_3x3_07,https://x.com/share3x3_07,れあちーず・Diefuku,さくら,彼氏に任せる
同意する,https://vrc.game/users/usr_3x3_08,https://x.com/share3x3_08,なゆたの,なぎさ,手をつなぐまで
同意する,https://vrc.game/users/usr_3x3_09,https://x.com/share3x3_09,ばも・ヌウア,しんかい,軽いスキンシップまで
同意する,https://vrc.game/users/usr_3x3_10,https://x.com/share3x3_10,ちるちる,うしお,ハグまでOK
