注意事項への同意,VRC-ID,X（旧:Twitter）アカウント名,話したいキャストの希望,意気込み・質問
同意する,SeaDrop_001,@bar_onedrop_01,柘榴_ざくろ,初参加です。よろしくお願いします！
同意する,VRC_Alice_22,@alice_vrc22,ちるちる・moku,2回目です。前回楽しかったです
同意する,BlueOcean_99,@blueocean_99,なんこつ,話せるの楽しみにしています
同意する,Coral_Reef_7,@coral_reef7,ふぃり・ぷりも,お酒飲みながらお話ししたいです
同意する,Dolphin_San,@dolphin_san,ニャンツァー,よろしくお願いします
同意する,Echo_Sea,@echo_sea_vrc,るびちゃ・れあちーず,初めてのBarイベントです
同意する,Foam_White,@foam_white,ばも,Diefukuさんともお話ししたい
同意する,Gulf_Stream,@gulf_stream_xx,めび・ばじばじ,カクテル楽しみです
同意する,Harbor_Light,@harbor_light,なゆたの,2名で参加希望です
同意する,Ice_Floe_12,@ice_floe_12,ヌウア,よろしくお願いいたします
