VRChatのお名前,Xアカウント（@から始まるID）,ご希望の時間帯（一部 / 二部 / どちらでも可）,連絡事項・キャストへのメッセージ,確認事項（注意事項了承・公式SNSフォロー）
夢見ゆめみ,@mimidream_01,一部,初参加です。緊張していますがよろしくお願いします,確認済み
夢見るみ,@mimidream_02,二部,キャストの皆さん楽しみにしています,確認済み
夢野ゆの,@mimidream_03,どちらでも可,,確認済み
夢路ゆじ,@mimidream_04,一部,個室1:1楽しみです,確認済み
夢幻むげん,@mimidream_05,二部,メイド服ドレスコード守ります,確認済み
夢月むつき,@mimidream_06,どちらでも可,20分2ローテでお願いします,確認済み
夢色ゆめいろ,@mimidream_07,一部,よろしくお願いします,確認済み
夢追むおい,@mimidream_08,二部,前回落選したので今回こそ,確認済み
夢中むちゅう,@mimidream_09,どちらでも可,,確認済み
夢語りゆめがたり,@mimidream_10,一部,メイドさんとお話しできるの楽しみです,確認済み
