同意（複数）	VRC URL	X URL	君の気になる子は誰？（複数可）	呼ばれたい名前	スキンシップ範囲
同意する	https://vrc.game/users/usr_3x3_01	https://x.com/share3x3_01	AAA・QQQ	ゆい	手をつなぐまで
同意する	https://vrc.game/users/usr_3x3_02	https://x.com/share3x3_02	BBB	そら	ハグまでOK
同意する	https://vrc.game/users/usr_3x3_03	https://x.com/share3x3_03	CCC・YYY・UUU	れいな	彼氏に任せる
同意する	https://vrc.game/users/usr_3x3_04	https://x.com/share3x3_04	DDD	まどか	手をつなぐまで
同意する	https://vrc.game/users/usr_3x3_05	https://x.com/share3x3_05	FFF・RRR	あおい	軽いスキンシップまで
同意する	https://vrc.game/users/usr_3x3_06	https://x.com/share3x3_06	GGG	みずき	ハグまでOK
同意する	https://vrc.game/users/usr_3x3_07	https://x.com/share3x3_07	HHH・TTT	さくら	彼氏に任せる
同意する	https://vrc.game/users/usr_3x3_08	https://x.com/share3x3_08	JJJ	なぎさ	手をつなぐまで
同意する	https://vrc.game/users/usr_3x3_09	https://x.com/share3x3_09	KKK・WWW	しんかい	軽いスキンシップまで
同意する	https://vrc.game/users/usr_3x3_10	https://x.com/share3x3_10	QQQ	うしお	ハグまでOK
